1540113171322604544,-0.03854,-0.02899,-0.00619,0.78184,-0.60576,-0.12119,-0.08421,-0.02671,-0.19804,0.56673,
1540113171418562304,-0.03800,-0.04720,0.03750,0.77795,-0.60065,-0.15104,-0.10581,0.03845,-0.20450,1.22436,
1540113171514560512,-0.03019,-0.06925,0.16015,0.76938,-0.59956,-0.17529,-0.13360,0.08538,-0.27308,1.86622,
1540113171596440576,-0.02587,-0.09538,0.31821,0.76168,-0.61041,-0.17112,-0.13402,0.00523,-0.35517,2.54539,
1540113171694646528,-0.02988,-0.13221,0.57002,0.76140,-0.61475,-0.16453,-0.12364,-0.07183,-0.38975,2.85877,
1540113171793314560,-0.02595,-0.16932,0.83040,0.75571,-0.62587,-0.15715,-0.11178,-0.06246,-0.38669,3.27669,
1540113171890005504,-0.01507,-0.20177,1.11144,0.74944,-0.63847,-0.14440,-0.09924,-0.05570,-0.33098,3.48945,
1540113173036484352,0.02082,-0.01592,-0.08867,0.72133,-0.66896,-0.12709,-0.12659,0.03168,-0.67084,0.11567,
1540113173138241536,0.02240,-0.08151,-0.06798,0.70368,-0.68339,-0.15817,-0.11313,-0.01300,-0.59000,0.74601,
1540113173219089408,0.01942,-0.12225,-0.01010,0.69580,-0.68890,-0.17908,-0.09595,-0.05492,-0.38240,1.24517,
1540113173317066496,0.01405,-0.14296,0.10726,0.68792,-0.69383,-0.19530,-0.08496,-0.07225,0.00007,2.07497,
1540113173413954560,0.00538,-0.12438,0.30687,0.69106,-0.69019,-0.19670,-0.08590,-0.10098,0.36755,2.39810,
1540113173510864384,-0.00386,-0.07943,0.54128,0.69896,-0.68211,-0.19209,-0.09635,-0.09907,0.60820,2.75175,
1540113173607775488,-0.01229,-0.01884,0.80886,0.71239,-0.66817,-0.18495,-0.10884,-0.10632,0.72703,3.25931,
1540113173705863424,-0.02313,0.05312,1.12798,0.72955,-0.64914,-0.18001,-0.11821,-0.13269,0.75531,3.81179,
1540113175031780608,-0.00853,0.01630,-0.12893,0.74034,-0.63631,-0.15732,-0.14918,0.09608,0.03462,0.12233,
1540113175128524544,-0.00564,0.01371,-0.10396,0.73536,-0.63170,-0.17821,-0.16864,-0.05188,-0.08868,1.24718,
1540113175225301504,-0.02555,-0.00408,0.03415,0.73767,-0.63475,-0.16902,-0.15611,-0.34425,-0.26229,2.23509,
1540113175322104576,-0.06679,-0.03613,0.24324,0.74869,-0.62930,-0.15989,-0.13373,-0.49741,-0.36090,2.94865,
1540113175421052416,-0.11899,-0.07483,0.52874,0.75886,-0.62855,-0.13764,-0.10055,-0.55155,-0.39192,3.19046,
1540113176737427456,-0.11595,-0.02554,-0.13538,0.72148,-0.65251,-0.18233,-0.14298,0.31376,-0.01483,0.35899,
1540113176834341632,-0.07025,-0.02585,-0.10456,0.72253,-0.65222,-0.18111,-0.14057,0.61811,-0.00164,1.19194,
1540113176931274496,-0.00215,-0.02536,0.01117,0.71970,-0.65286,-0.18584,-0.14582,0.75665,0.02881,1.63225,
1540113177031308288,0.07303,-0.02109,0.17261,0.71524,-0.65390,-0.18740,-0.16041,0.69879,0.05433,1.99211,
1540113177135656704,0.13154,-0.01642,0.37507,0.70909,-0.65312,-0.19253,-0.18319,0.37068,0.03198,2.41073,
1540113177214201344,0.14540,-0.01663,0.55877,0.70790,-0.64958,-0.20041,-0.19174,-0.00753,-0.02607,2.69953,
1540113177311136512,0.12401,-0.02398,0.82009,0.70676,-0.65036,-0.20596,-0.18736,-0.40514,-0.10751,3.15416,
1540113177409939456,0.07224,-0.03851,1.13035,0.71699,-0.65042,-0.19440,-0.15841,-0.58760,-0.15696,3.59546,
1540113177513833472,0.01152,-0.05551,1.50137,0.72171,-0.65357,-0.18164,-0.13782,-0.54883,-0.16694,4.21151,
